generation,best_score,avg_score,diversity
604,1412.2562,208.3843,59.72
605,1412.2562,207.8860,59.72
606,1412.2562,209.9204,59.72
607,1412.2562,210.2287,59.72
608,1412.2562,209.7299,59.72
609,1412.2562,210.0937,59.72
610,1412.2562,209.5968,59.72
611,1412.2562,209.1014,59.72
612,1412.2562,208.6078,59.72
613,1412.2562,208.1158,59.72
614,1412.2562,208.4793,59.72
615,1412.2562,207.9892,59.72
616,1412.2562,207.5006,59.72
617,1412.2562,207.0137,59.72
618,1412.2562,206.2719,59.72
619,1412.2562,205.7702,59.72
620,1412.2562,205.2886,59.72
621,1412.2562,205.6526,59.72
622,1412.2562,207.6371,59.72
623,1412.2562,207.1548,59.72
624,1412.2562,206.6740,59.72
625,1412.2562,208.6472,59.72
626,1412.2562,208.1655,59.72
627,1412.2562,208.5213,59.72
628,1412.2562,208.0414,59.72
629,1412.2562,208.3962,59.72
630,1412.2562,207.9181,59.72
631,1412.2562,208.2277,59.72
632,1412.2562,210.1760,59.72
633,1412.2562,212.1180,59.72
634,1412.2562,214.0537,59.72
635,1412.2562,213.5703,59.72
636,1412.2562,213.9122,59.72
637,1412.2562,213.4307,59.72
638,1412.2562,215.3519,59.72
639,1412.2562,214.8695,59.72
640,1412.2562,214.3887,59.72
641,1412.2562,213.9095,59.72
642,1412.2562,213.4318,59.72
643,1412.2562,213.7701,59.72
644,1412.2562,214.1073,59.72
645,1412.2562,216.0061,59.72
646,1412.2562,217.8989,59.72
647,1412.2562,219.7858,59.72
648,1412.2562,220.1114,59.72
649,1412.2562,221.9888,59.72
650,1412.2562,223.8603,59.72
651,1412.2562,224.0131,59.72
652,1412.2562,225.8785,59.72
653,1412.2562,226.1926,59.72
654,1412.2562,225.7038,59.72
655,1412.2562,225.7435,59.72
656,1412.2562,225.2570,59.72
657,1412.2562,227.1059,59.72
658,1412.2562,226.6188,59.72
659,1412.2562,226.1332,59.72
660,1412.2562,224.5713,59.72
661,1412.2562,224.8835,59.72
662,1412.2562,224.4028,59.72
663,1412.2562,223.9236,59.72
664,1412.2562,224.8469,59.72
665,1412.2562,225.1567,59.72
666,1412.2562,225.4142,59.72
667,1412.2562,227.2345,59.72
668,1412.2562,226.7547,59.72
669,1412.2562,227.0597,59.72
670,1412.2562,228.8691,59.72
671,1412.2562,229.1700,59.72
672,1412.2562,228.6901,59.72
673,1412.2562,230.4889,59.72
674,1412.2562,230.7859,59.72
675,1412.2562,232.5760,59.72
676,1412.2562,232.0939,59.72
677,1412.2562,233.8766,59.72
678,1412.2562,233.3940,59.72
679,1412.2562,235.1694,59.72
680,1412.2562,236.9394,59.72
681,1412.2562,236.4544,59.72
682,1412.2562,236.7389,59.72
683,1412.2562,237.0226,59.72
684,1412.2562,236.5396,59.72
685,1412.2562,236.7056,59.72
686,1412.2562,238.4575,59.72
687,1412.2562,237.9580,59.72
688,1412.2562,237.4765,59.72
689,1412.2562,236.8522,59.72
690,1412.2562,238.5935,59.72
691,1412.2562,240.3297,59.72
692,1412.2562,239.8475,59.72
693,1412.2562,241.5767,59.72
694,1412.2562,241.0941,59.72
695,1412.2562,242.8164,59.72
696,1412.2562,242.3334,59.72
697,1412.2562,244.0489,59.72
698,1412.2562,244.2666,59.72
699,1412.2562,243.7836,59.72
700,1412.2562,245.4894,59.72
